head,tail,relation
1-methyluric acid,PA166131352,Name-PharmGKB_Id(Chemicals)
PA166131352,1-methyluric acid,PharmGKB_Id-Name(Chemicals)
PA166131352,PubChem Compound:69726,Cross_reference(Chemicals)
1-methylxanthine,PA166131368,Name-PharmGKB_Id(Chemicals)
PA166131368,1-methylxanthine,PharmGKB_Id-Name(Chemicals)
PA166131368,PubChem Compound:80220,Cross_reference(Chemicals)
10-formyltetrahydrofolate,PA166178620,Name-PharmGKB_Id(Chemicals)
PA166178620,10-formyltetrahydrofolate,PharmGKB_Id-Name(Chemicals)
PA166178620,PubChem Compound:10,Cross_reference(Chemicals)
10-hydroxy r-warfarin,PA166131395,Name-PharmGKB_Id(Chemicals)
PA166131395,10-hydroxy r-warfarin,PharmGKB_Id-Name(Chemicals)
PA166131395,HMDB:HMDB13884,Cross_reference(Chemicals)
10-monohydroxy oxcarbazepine,PA166182602,Name-PharmGKB_Id(Chemicals)
PA166182602,10-monohydroxy oxcarbazepine,PharmGKB_Id-Name(Chemicals)
PA166182602,PubChem Compound:10061548,Cross_reference(Chemicals)
12-hydroxy-sirolimus,PA166165005,Name-PharmGKB_Id(Chemicals)
PA166165005,12-hydroxy-sirolimus,PharmGKB_Id-Name(Chemicals)
12-hydroxynevirapine,PA166131247,Name-PharmGKB_Id(Chemicals)
PA166131247,12-hydroxynevirapine,PharmGKB_Id-Name(Chemicals)
PA166131247,HMDB:HMDB13911,Cross_reference(Chemicals)
PA166131247,PubChem Compound:453338,Cross_reference(Chemicals)
12-hydroxynevirapine glucuronide,PA166131249,Name-PharmGKB_Id(Chemicals)
PA166131249,12-hydroxynevirapine glucuronide,PharmGKB_Id-Name(Chemicals)
PA166131249,HMDB:HMDB60705,Cross_reference(Chemicals)
PA166131249,PubChem Compound:131769925,Cross_reference(Chemicals)
13-O-demethyl tacrolimus,PA166131533,Name-PharmGKB_Id(Chemicals)
PA166131533,13-O-demethyl tacrolimus,PharmGKB_Id-Name(Chemicals)
PA166131533,PubChem Compound:131769926,Cross_reference(Chemicals)
14-hydroxyclarithromycin,PA166160599,Name-PharmGKB_Id(Chemicals)
PA166160599,14-hydroxyclarithromycin,PharmGKB_Id-Name(Chemicals)
14-hydroxyclarithromycin,14-Hydroxy-6-O-methylerythromycin,Synonym(Chemicals)
"2'-deoxy-2',2'-difluorouridine monophosphate",PA166131568,Name-PharmGKB_Id(Chemicals)
PA166131568,"2'-deoxy-2',2'-difluorouridine monophosphate",PharmGKB_Id-Name(Chemicals)
"2,3-diene valproic acid-coenzyme A",PA166131511,Name-PharmGKB_Id(Chemicals)
PA166131511,"2,3-diene valproic acid-coenzyme A",PharmGKB_Id-Name(Chemicals)
"2,4-diene valproic acid-coenzyme A",PA166131512,Name-PharmGKB_Id(Chemicals)
PA166131512,"2,4-diene valproic acid-coenzyme A",PharmGKB_Id-Name(Chemicals)
"2,6-dimethylphenylhydroxylamine",PA166182310,Name-PharmGKB_Id(Chemicals)
PA166182310,"2,6-dimethylphenylhydroxylamine",PharmGKB_Id-Name(Chemicals)
"2,6-dimethylphenylhydroxylamine",DMHA,Synonym(Chemicals)
"2,6-dimethylphenylhydroxylamine",dimethylphenyl N-hydroxylamine,Synonym(Chemicals)
PA166182310,PubChem Compound:145679,Cross_reference(Chemicals)
"2,6-xylidine",PA166182227,Name-PharmGKB_Id(Chemicals)
PA166182227,"2,6-xylidine",PharmGKB_Id-Name(Chemicals)
"2,6-xylidine","2,6-dimethylaniline",Synonym(Chemicals)
PA166182227,PubChem Compound:6896,Cross_reference(Chemicals)
2-amino-1-phenylethanol derivatives,PA164712302,Name-PharmGKB_Id(Chemicals)
PA164712302,2-amino-1-phenylethanol derivatives,PharmGKB_Id-Name(Chemicals)
PA164712302,ATC:C04AA,External_vocabulary(Chemicals)
2-amino-3-methylbenzoate,PA166182231,Name-PharmGKB_Id(Chemicals)
PA166182231,2-amino-3-methylbenzoate,PharmGKB_Id-Name(Chemicals)
PA166182231,HMDB:HMDB0060680,Cross_reference(Chemicals)
PA166182231,PubChem Compound:78101,Cross_reference(Chemicals)
2-chloroethylamine,PA166131288,Name-PharmGKB_Id(Chemicals)
PA166131288,2-chloroethylamine,PharmGKB_Id-Name(Chemicals)
PA166131288,PubChem Compound:13369,Cross_reference(Chemicals)
2-dechloroethyl ifosfamide,PA166131572,Name-PharmGKB_Id(Chemicals)
PA166131572,2-dechloroethyl ifosfamide,PharmGKB_Id-Name(Chemicals)
PA166131572,HMDB:HMDB13859,Cross_reference(Chemicals)
2-ene valproic acid,PA166131246,Name-PharmGKB_Id(Chemicals)
PA166131246,2-ene valproic acid,PharmGKB_Id-Name(Chemicals)
PA166131246,HMDB:HMDB13902,Cross_reference(Chemicals)
2-ene valproic acid-coenzyme A,PA166131250,Name-PharmGKB_Id(Chemicals)
PA166131250,2-ene valproic acid-coenzyme A,PharmGKB_Id-Name(Chemicals)
PA166131250,HMDB:HMDB60714,Cross_reference(Chemicals)
2-hydroxy-desethylamodiaquine,PA166131468,Name-PharmGKB_Id(Chemicals)
PA166131468,2-hydroxy-desethylamodiaquine,PharmGKB_Id-Name(Chemicals)
2-hydroxycarbamazepine,PA165817200,Name-PharmGKB_Id(Chemicals)
PA165817200,2-hydroxycarbamazepine,PharmGKB_Id-Name(Chemicals)
2-hydroxycarbamazepine,2OH-CBZ,Synonym(Chemicals)
PA165817200,PubChem Compound:129274,Cross_reference(Chemicals)
2-hydroxydesipramine,PA166131283,Name-PharmGKB_Id(Chemicals)
PA166131283,2-hydroxydesipramine,PharmGKB_Id-Name(Chemicals)
PA166131283,PubChem Compound:121249,Cross_reference(Chemicals)
2-hydroxydesipramine glucuronide,PA166131251,Name-PharmGKB_Id(Chemicals)
PA166131251,2-hydroxydesipramine glucuronide,PharmGKB_Id-Name(Chemicals)
PA166131251,HMDB:HMDB60716,Cross_reference(Chemicals)
PA166131251,PubChem Compound:71748973,Cross_reference(Chemicals)
2-hydroxyestradiol,PA166178655,Name-PharmGKB_Id(Chemicals)
PA166178655,2-hydroxyestradiol,PharmGKB_Id-Name(Chemicals)
PA166178655,DrugBank:DB07706,Cross_reference(Chemicals)
PA166178655,HMDB:HMDB00338,Cross_reference(Chemicals)
PA166178655,PubChem Compound:247304,Cross_reference(Chemicals)
2-hydroxyibuprofen,PA166131267,Name-PharmGKB_Id(Chemicals)
PA166131267,2-hydroxyibuprofen,PharmGKB_Id-Name(Chemicals)
PA166131267,PubChem Compound:10443535,Cross_reference(Chemicals)
2-hydroxyibuprofen glucuronide,PA166131542,Name-PharmGKB_Id(Chemicals)
PA166131542,2-hydroxyibuprofen glucuronide,PharmGKB_Id-Name(Chemicals)
2-hydroxyiminostilbene,PA166131287,Name-PharmGKB_Id(Chemicals)
PA166131287,2-hydroxyiminostilbene,PharmGKB_Id-Name(Chemicals)
PA166131287,PubChem Compound:13103864,Cross_reference(Chemicals)
2-hydroxyimipramine,PA166131271,Name-PharmGKB_Id(Chemicals)
PA166131271,2-hydroxyimipramine,PharmGKB_Id-Name(Chemicals)
PA166131271,PubChem Compound:108051,Cross_reference(Chemicals)
2-hydroxyimipramine glucuronide,PA166131277,Name-PharmGKB_Id(Chemicals)
PA166131277,2-hydroxyimipramine glucuronide,PharmGKB_Id-Name(Chemicals)
PA166131277,PubChem Compound:10874382,Cross_reference(Chemicals)
2-hydroxymethyl atomoxetine,PA166160755,Name-PharmGKB_Id(Chemicals)
PA166160755,2-hydroxymethyl atomoxetine,PharmGKB_Id-Name(Chemicals)
2-hydroxymethyl olanzapine,PA166164917,Name-PharmGKB_Id(Chemicals)
PA166164917,2-hydroxymethyl olanzapine,PharmGKB_Id-Name(Chemicals)
PA166164917,PubChem Compound:9840400,Cross_reference(Chemicals)
2-hydroxynevirapine,PA166131275,Name-PharmGKB_Id(Chemicals)
PA166131275,2-hydroxynevirapine,PharmGKB_Id-Name(Chemicals)
PA166131275,PubChem Compound:10850461,Cross_reference(Chemicals)
2-hydroxynevirapine glucuronide,PA166131253,Name-PharmGKB_Id(Chemicals)
PA166131253,2-hydroxynevirapine glucuronide,PharmGKB_Id-Name(Chemicals)
PA166131253,HMDB:HMDB60720,Cross_reference(Chemicals)
PA166131253,PubChem Compound:131769929,Cross_reference(Chemicals)
2-methoxyestradiol,PA134967247,Name-PharmGKB_Id(Chemicals)
PA134967247,2-methoxyestradiol,PharmGKB_Id-Name(Chemicals)
PA134967247,PubChem Compound:66414,Cross_reference(Chemicals)
2-oxazolidone,PA166131365,Name-PharmGKB_Id(Chemicals)
PA166131365,2-oxazolidone,PharmGKB_Id-Name(Chemicals)
PA166131365,PubChem Compound:73949,Cross_reference(Chemicals)
2-oxo-clopidogrel,PA166131290,Name-PharmGKB_Id(Chemicals)
PA166131290,2-oxo-clopidogrel,PharmGKB_Id-Name(Chemicals)
PA166131290,PubChem Compound:13748464,Cross_reference(Chemicals)
3'-amino-3'-deoxythymidine,PA166131272,Name-PharmGKB_Id(Chemicals)
PA166131272,3'-amino-3'-deoxythymidine,PharmGKB_Id-Name(Chemicals)
PA166131272,PubChem Compound:108074,Cross_reference(Chemicals)
3'-amino-3'-deoxythymidine glucuronide,PA166131292,Name-PharmGKB_Id(Chemicals)
PA166131292,3'-amino-3'-deoxythymidine glucuronide,PharmGKB_Id-Name(Chemicals)
PA166131292,PubChem Compound:159513,Cross_reference(Chemicals)
3'-hydroxydiclofenac,PA166163700,Name-PharmGKB_Id(Chemicals)
PA166163700,3'-hydroxydiclofenac,PharmGKB_Id-Name(Chemicals)
PA166163700,PubChem Compound:112230,Cross_reference(Chemicals)
"3,4-dihydroxyphenylacetaldehyde",PA166181082,Name-PharmGKB_Id(Chemicals)
PA166181082,"3,4-dihydroxyphenylacetaldehyde",PharmGKB_Id-Name(Chemicals)
PA166181082,ChEBI:CHEBI:27978,Cross_reference(Chemicals)
PA166181082,HMDB:HMDB0003791,Cross_reference(Chemicals)
PA166181082,PubChem Compound:119219,Cross_reference(Chemicals)
"3,4-dihydroxyphenylacetic acid",PA166181083,Name-PharmGKB_Id(Chemicals)
PA166181083,"3,4-dihydroxyphenylacetic acid",PharmGKB_Id-Name(Chemicals)
PA166181083,ChEBI:CHEBI:41941,Cross_reference(Chemicals)
PA166181083,DrugBank:DB01702,Cross_reference(Chemicals)
PA166181083,HMDB:HMDB0001336,Cross_reference(Chemicals)
PA166181083,PubChem Compound:547,Cross_reference(Chemicals)
"3,4-dihydroxyphenylglycolaldehyde",PA166181134,Name-PharmGKB_Id(Chemicals)
PA166181134,"3,4-dihydroxyphenylglycolaldehyde",PharmGKB_Id-Name(Chemicals)
PA166181134,ChEBI:CHEBI:27852,Cross_reference(Chemicals)
PA166181134,HMDB:HMDB0006242,Cross_reference(Chemicals)
PA166181134,PubChem Compound:151725,Cross_reference(Chemicals)
"3,4-methylenedioxymethamphetamine",PA131887008,Name-PharmGKB_Id(Chemicals)
PA131887008,"3,4-methylenedioxymethamphetamine",PharmGKB_Id-Name(Chemicals)
"3,4-methylenedioxymethamphetamine",Ecstasy,Synonym(Chemicals)
"3,4-methylenedioxymethamphetamine",MDMA,Synonym(Chemicals)
PA131887008,ChEBI:CHEBI:1391,Cross_reference(Chemicals)
PA131887008,Chemical Abstracts Service:42542-10-9,Cross_reference(Chemicals)
PA131887008,ChemSpider:1556,Cross_reference(Chemicals)
PA131887008,DrugBank:DB01454,Cross_reference(Chemicals)
PA131887008,KEGG Compound:C07577,Cross_reference(Chemicals)
PA131887008,PubChem Compound:1615,Cross_reference(Chemicals)
PA131887008,PubChem Substance:46506404,Cross_reference(Chemicals)
PA131887008,PubChem Substance:9780,Cross_reference(Chemicals)
PA131887008,URL:http://en.wikipedia.org/wiki/3%2C4-Methylenedioxymethamphetamine,Cross_reference(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one",PA165958321,Name-PharmGKB_Id(Chemicals)
PA165958321,"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one",PharmGKB_Id-Name(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one","( )-cis-3,5-Dimethyl-2-(3-pyridyl)thiazolidin-4-one hydrochloride",Synonym(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one",130841-70-2,Synonym(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one",158511-47-8,Synonym(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one","3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one",Synonym(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one","4-Thiazolidinone, 3,5-dimethyl-2-(3-pyridinyl)-, monohydrochloride, cis-(+-)-",Synonym(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one",AC1L433Y,Synonym(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one",SM-10661,Synonym(Chemicals)
"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one",SM-12502,Synonym(Chemicals)
PA165958321,PubChem Compound:178014,Cross_reference(Chemicals)
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,PA165858618,Name-PharmGKB_Id(Chemicals)
PA165858618,3-aminopyridine-2-carboxaldehyde thiosemicarbazone,PharmGKB_Id-Name(Chemicals)
PA165858618,PubChem Compound:9571836,Cross_reference(Chemicals)
3-beta-hydroxy-5-androsten-17-one,PA451993,Name-PharmGKB_Id(Chemicals)
PA451993,3-beta-hydroxy-5-androsten-17-one,PharmGKB_Id-Name(Chemicals)
3-beta-hydroxy-5-androsten-17-one,3-beta-hydroxy-5-androsten-17-one,Synonym(Chemicals)
3-beta-hydroxy-5-androsten-17-one,5-dehydroepiandrosterone,Synonym(Chemicals)
3-beta-hydroxy-5-androsten-17-one,5-dhea,Synonym(Chemicals)
3-beta-hydroxy-5-androsten-17-one,dha,Synonym(Chemicals)
3-beta-hydroxy-5-androsten-17-one,dhea,Synonym(Chemicals)
3-beta-hydroxy-5-androsten-17-one,prasterone,Synonym(Chemicals)
PA451993,ChEBI:CHEBI:28689,Cross_reference(Chemicals)
PA451993,Chemical Abstracts Service:53-43-0,Cross_reference(Chemicals)
PA451993,ChemSpider:5670,Cross_reference(Chemicals)
PA451993,DrugBank:DB01708,Cross_reference(Chemicals)
PA451993,IUPHAR Ligand:2370,Cross_reference(Chemicals)
PA451993,KEGG Compound:C01227,Cross_reference(Chemicals)
PA451993,PDB:AND,Cross_reference(Chemicals)
PA451993,PubChem Compound:5881,Cross_reference(Chemicals)
PA451993,PubChem Substance:4449,Cross_reference(Chemicals)
PA451993,PubChem Substance:46508824,Cross_reference(Chemicals)
PA451993,MeSH:C033625,External_vocabulary(Chemicals)
PA451993,MeSH:C452866,External_vocabulary(Chemicals)
PA451993,ATC:A14AA07,External_vocabulary(Chemicals)
3-cyano-7-ethoxycoumarin,PA166123047,Name-PharmGKB_Id(Chemicals)
PA166123047,3-cyano-7-ethoxycoumarin,PharmGKB_Id-Name(Chemicals)
PA166123047,PubChem Compound:164045,Cross_reference(Chemicals)
3-dechloroethyl ifosfamide,PA166131571,Name-PharmGKB_Id(Chemicals)
PA166131571,3-dechloroethyl ifosfamide,PharmGKB_Id-Name(Chemicals)
PA166131571,HMDB:HMDB13858,Cross_reference(Chemicals)
3-ene valproic acid-coenzyme A,PA166131513,Name-PharmGKB_Id(Chemicals)
PA166131513,3-ene valproic acid-coenzyme A,PharmGKB_Id-Name(Chemicals)
3-hydroxy valproic acid,PA166131289,Name-PharmGKB_Id(Chemicals)
PA166131289,3-hydroxy valproic acid,PharmGKB_Id-Name(Chemicals)
PA166131289,PubChem Compound:134459,Cross_reference(Chemicals)
3-hydroxy valproic acid-coenzyme A,PA166131514,Name-PharmGKB_Id(Chemicals)
PA166131514,3-hydroxy valproic acid-coenzyme A,PharmGKB_Id-Name(Chemicals)
3-hydroxy-3-methylglutaryl coenzyme A,PA166178661,Name-PharmGKB_Id(Chemicals)
PA166178661,3-hydroxy-3-methylglutaryl coenzyme A,PharmGKB_Id-Name(Chemicals)
3-hydroxy-3-methylglutaryl coenzyme A,HMG-CoA,Synonym(Chemicals)
3-hydroxy-3-methylglutaryl coenzyme A,hydroxymethylglutaryl-CoA,Synonym(Chemicals)
PA166178661,PubChem Compound:445127,Cross_reference(Chemicals)
3-hydroxycarbamazepine,PA165817197,Name-PharmGKB_Id(Chemicals)
PA165817197,3-hydroxycarbamazepine,PharmGKB_Id-Name(Chemicals)
PA165817197,PubChem Compound:135290,Cross_reference(Chemicals)
3-hydroxycarbamazepine free radical,PA166131485,Name-PharmGKB_Id(Chemicals)
PA166131485,3-hydroxycarbamazepine free radical,PharmGKB_Id-Name(Chemicals)
3-hydroxycotinine,PA166131262,Name-PharmGKB_Id(Chemicals)
PA166131262,3-hydroxycotinine,PharmGKB_Id-Name(Chemicals)
PA166131262,PubChem Compound:10219774,Cross_reference(Chemicals)
3-hydroxycotinine glucuronide,PA166131242,Name-PharmGKB_Id(Chemicals)
PA166131242,3-hydroxycotinine glucuronide,PharmGKB_Id-Name(Chemicals)
PA166131242,HMDB:HMDB01204,Cross_reference(Chemicals)
PA166131242,PubChem Compound:53477725,Cross_reference(Chemicals)
3-hydroxyibuprofen,PA166131357,Name-PharmGKB_Id(Chemicals)
PA166131357,3-hydroxyibuprofen,PharmGKB_Id-Name(Chemicals)
PA166131357,PubChem Compound:71312545,Cross_reference(Chemicals)
3-hydroxyibuprofen glucuronide,PA166131543,Name-PharmGKB_Id(Chemicals)
PA166131543,3-hydroxyibuprofen glucuronide,PharmGKB_Id-Name(Chemicals)
3-hydroxylidocaine,PA166181841,Name-PharmGKB_Id(Chemicals)
PA166181841,3-hydroxylidocaine,PharmGKB_Id-Name(Chemicals)
PA166181841,ChEBI:CHEBI:80567,Cross_reference(Chemicals)
PA166181841,HMDB:HMDB0060655,Cross_reference(Chemicals)
PA166181841,PubChem Compound:161824,Cross_reference(Chemicals)
3-hydroxymonoethylglycinexylidide,PA166182232,Name-PharmGKB_Id(Chemicals)
PA166182232,3-hydroxymonoethylglycinexylidide,PharmGKB_Id-Name(Chemicals)
3-hydroxymonoethylglycinexylidide,3-hydroxy-n-desethyl lidocaine,Synonym(Chemicals)
PA166182232,HMDB:HMDB0060678,Cross_reference(Chemicals)
PA166182232,PubChem Compound:3015693,Cross_reference(Chemicals)
3-hydroxynevirapine,PA166131276,Name-PharmGKB_Id(Chemicals)
PA166131276,3-hydroxynevirapine,PharmGKB_Id-Name(Chemicals)
PA166131276,HMDB:HMDB13914,Cross_reference(Chemicals)
PA166131276,PubChem Compound:10978907,Cross_reference(Chemicals)
3-hydroxynevirapine glucuronide,PA166131252,Name-PharmGKB_Id(Chemicals)
PA166131252,3-hydroxynevirapine glucuronide,PharmGKB_Id-Name(Chemicals)
PA166131252,HMDB:HMDB60743,Cross_reference(Chemicals)
PA166131252,PubChem Compound:131769937,Cross_reference(Chemicals)
3-hydroxyomeprazole,PA166131360,Name-PharmGKB_Id(Chemicals)
PA166131360,3-hydroxyomeprazole,PharmGKB_Id-Name(Chemicals)
PA166131360,PubChem Compound:71587579,Cross_reference(Chemicals)
3-hydroxysulfolane,PA166131384,Name-PharmGKB_Id(Chemicals)
PA166131384,3-hydroxysulfolane,PharmGKB_Id-Name(Chemicals)
PA166131384,PubChem Compound:98932,Cross_reference(Chemicals)
3-methoxytyramine,PA166181085,Name-PharmGKB_Id(Chemicals)
PA166181085,3-methoxytyramine,PharmGKB_Id-Name(Chemicals)
PA166181085,ChEBI:CHEBI:1582,Cross_reference(Chemicals)
PA166181085,HMDB:HMDB0000022,Cross_reference(Chemicals)
PA166181085,PubChem Compound:1669,Cross_reference(Chemicals)
3-methylxanthine,PA166131354,Name-PharmGKB_Id(Chemicals)
PA166131354,3-methylxanthine,PharmGKB_Id-Name(Chemicals)
PA166131354,PubChem Compound:70639,Cross_reference(Chemicals)
3-oxo-valproic acid-coenzyme A,PA166131515,Name-PharmGKB_Id(Chemicals)
PA166131515,3-oxo-valproic acid-coenzyme A,PharmGKB_Id-Name(Chemicals)
3-oxoandrosten (4) derivatives,PA164712303,Name-PharmGKB_Id(Chemicals)
PA164712303,3-oxoandrosten (4) derivatives,PharmGKB_Id-Name(Chemicals)
PA164712303,ATC:G03BA,External_vocabulary(Chemicals)
31-O-demethyl tacrolimus,PA166131532,Name-PharmGKB_Id(Chemicals)
PA166131532,31-O-demethyl tacrolimus,PharmGKB_Id-Name(Chemicals)
PA166131532,HMDB:HMDB61049,Cross_reference(Chemicals)
PA166131532,PubChem Compound:131770014,Cross_reference(Chemicals)
34-hydroxy-sirolimus,PA166165008,Name-PharmGKB_Id(Chemicals)
PA166165008,34-hydroxy-sirolimus,PharmGKB_Id-Name(Chemicals)
39-o-desmethyl sirolimus,PA166165006,Name-PharmGKB_Id(Chemicals)
PA166165006,39-o-desmethyl sirolimus,PharmGKB_Id-Name(Chemicals)
"4',5-dihydroxydiclofenac",PA166163701,Name-PharmGKB_Id(Chemicals)
PA166163701,"4',5-dihydroxydiclofenac",PharmGKB_Id-Name(Chemicals)
PA166163701,PubChem Compound:3052567,Cross_reference(Chemicals)
4'-hydroxy atomoxetine,PA166160749,Name-PharmGKB_Id(Chemicals)
PA166160749,4'-hydroxy atomoxetine,PharmGKB_Id-Name(Chemicals)
PA166160749,PubChem Compound:9816910,Cross_reference(Chemicals)
4'-hydroxy-n-desmethylclobazam,PA166169931,Name-PharmGKB_Id(Chemicals)
PA166169931,4'-hydroxy-n-desmethylclobazam,PharmGKB_Id-Name(Chemicals)
PA166169931,PubChem Compound:14275476,Cross_reference(Chemicals)
4'-hydroxyclobazam,PA166169930,Name-PharmGKB_Id(Chemicals)
PA166169930,4'-hydroxyclobazam,PharmGKB_Id-Name(Chemicals)
PA166169930,PubChem Compound:14275474,Cross_reference(Chemicals)
4'-hydroxydiclofenac,PA166163693,Name-PharmGKB_Id(Chemicals)
PA166163693,4'-hydroxydiclofenac,PharmGKB_Id-Name(Chemicals)
PA166163693,PubChem Compound:116545,Cross_reference(Chemicals)
4'-hydroxyphenyl carvedilol,PA166177867,Name-PharmGKB_Id(Chemicals)
PA166177867,4'-hydroxyphenyl carvedilol,PharmGKB_Id-Name(Chemicals)
PA166177867,PubChem Compound:4572774,Cross_reference(Chemicals)
"4,6,4'-trimethylangelicin",PA166122786,Name-PharmGKB_Id(Chemicals)
PA166122786,"4,6,4'-trimethylangelicin",PharmGKB_Id-Name(Chemicals)
PA166122786,PubChem Compound:107731,Cross_reference(Chemicals)
4-beta-hydroxycholesterol,PA166165251,Name-PharmGKB_Id(Chemicals)
PA166165251,4-beta-hydroxycholesterol,PharmGKB_Id-Name(Chemicals)
PA166165251,PubChem Compound:53345676,Cross_reference(Chemicals)
4-carboxynevirapine,PA166131238,Name-PharmGKB_Id(Chemicals)
PA166131238,4-carboxynevirapine,PharmGKB_Id-Name(Chemicals)
PA166131238,DrugBank Metabolite:DBMET00727,Cross_reference(Chemicals)
PA166131238,PubChem Compound:10709035,Cross_reference(Chemicals)
4-ene valproic acid,PA166131245,Name-PharmGKB_Id(Chemicals)
PA166131245,4-ene valproic acid,PharmGKB_Id-Name(Chemicals)
PA166131245,HMDB:HMDB13897,Cross_reference(Chemicals)
4-ene valproic acid-coenzyme A,PA166131254,Name-PharmGKB_Id(Chemicals)
PA166131254,4-ene valproic acid-coenzyme A,PharmGKB_Id-Name(Chemicals)
PA166131254,HMDB:HMDB60762,Cross_reference(Chemicals)
4-hydroxy valproic acid,PA166131516,Name-PharmGKB_Id(Chemicals)
PA166131516,4-hydroxy valproic acid,PharmGKB_Id-Name(Chemicals)
4-hydroxy-n-desmethyltamoxifen,PA166131241,Name-PharmGKB_Id(Chemicals)
PA166131241,4-hydroxy-n-desmethyltamoxifen,PharmGKB_Id-Name(Chemicals)
PA166131241,ChEBI:CHEBI:80555,Cross_reference(Chemicals)
4-hydroxyatomoxetine-O-glucuronide,PA166160750,Name-PharmGKB_Id(Chemicals)
PA166160750,4-hydroxyatomoxetine-O-glucuronide,PharmGKB_Id-Name(Chemicals)
PA166160750,PubChem Compound:29981146,Cross_reference(Chemicals)
4-hydroxybupropion,PA166170175,Name-PharmGKB_Id(Chemicals)
PA166170175,4-hydroxybupropion,PharmGKB_Id-Name(Chemicals)
PA166170175,PubChem Compound:75304411,Cross_reference(Chemicals)
4-hydroxycyclophosphamide,PA166131388,Name-PharmGKB_Id(Chemicals)
PA166131388,4-hydroxycyclophosphamide,PharmGKB_Id-Name(Chemicals)
PA166131388,PubChem Compound:99735,Cross_reference(Chemicals)
4-hydroxyestradiol,PA166178986,Name-PharmGKB_Id(Chemicals)
PA166178986,4-hydroxyestradiol,PharmGKB_Id-Name(Chemicals)
PA166178986,PubChem Compound:5282360,Cross_reference(Chemicals)
