head,tail,relation
PA443222,MeSH:D000012,External_vocabulary(Phenotypes)
PA443222,SnoMedCT:190787008,External_vocabulary(Phenotypes)
PA443222,SnoMedCT:60193003,External_vocabulary(Phenotypes)
PA443222,UMLS:C0000744,External_vocabulary(Phenotypes)
PA443222,NDFRT:N0000000263,External_vocabulary(Phenotypes)
Abnormal tooth spacing NOS,PA165108723,Name-PharmGKB_Id(Phenotypes)
PA165108723,Abnormal tooth spacing NOS,PharmGKB_Id-Name(Phenotypes)
PA165108723,MeSH:D003970,External_vocabulary(Phenotypes)
PA165108723,SnoMedCT:196411007,External_vocabulary(Phenotypes)
PA165108723,UMLS:C0011998,External_vocabulary(Phenotypes)
PA165108723,NDFRT:N0000000966,External_vocabulary(Phenotypes)
"Abnormalities, Drug-Induced",PA443224,Name-PharmGKB_Id(Phenotypes)
PA443224,"Abnormalities, Drug-Induced",PharmGKB_Id-Name(Phenotypes)
"Abnormalities, Drug-Induced","Abnormalities, Drug Induced",Synonym(Phenotypes)
"Abnormalities, Drug-Induced","Abnormality, Drug-Induced",Synonym(Phenotypes)
"Abnormalities, Drug-Induced",Drug Induced Abnormalities,Synonym(Phenotypes)
"Abnormalities, Drug-Induced",Drug-Induced Abnormalities,Synonym(Phenotypes)
"Abnormalities, Drug-Induced",Drug-Induced Abnormality,Synonym(Phenotypes)
PA443224,MeSH:D000014,External_vocabulary(Phenotypes)
PA443224,UMLS:C0000771,External_vocabulary(Phenotypes)
PA443224,NDFRT:N0000000265,External_vocabulary(Phenotypes)
"Abnormalities, Multiple",PA443225,Name-PharmGKB_Id(Phenotypes)
PA443225,"Abnormalities, Multiple",PharmGKB_Id-Name(Phenotypes)
"Abnormalities, Multiple",Multiple Abnormalities,Synonym(Phenotypes)
"Abnormalities, Multiple",Multiple congenital anomalies NOS,Synonym(Phenotypes)
"Abnormalities, Multiple",Multiple congenital malformations,Synonym(Phenotypes)
PA443225,MeSH:D000015,External_vocabulary(Phenotypes)
PA443225,SnoMedCT:116022009,External_vocabulary(Phenotypes)
PA443225,SnoMedCT:205784002,External_vocabulary(Phenotypes)
PA443225,SnoMedCT:67024003,External_vocabulary(Phenotypes)
PA443225,UMLS:C0000772,External_vocabulary(Phenotypes)
PA443225,MedDRA:10002585,External_vocabulary(Phenotypes)
PA443225,NDFRT:N0000000266,External_vocabulary(Phenotypes)
"Abortion, Habitual",PA443228,Name-PharmGKB_Id(Phenotypes)
PA443228,"Abortion, Habitual",PharmGKB_Id-Name(Phenotypes)
"Abortion, Habitual","Abortion, Recurrent",Synonym(Phenotypes)
"Abortion, Habitual","Abortions, Habitual",Synonym(Phenotypes)
"Abortion, Habitual","Abortions, Recurrent",Synonym(Phenotypes)
"Abortion, Habitual",Habitual Abortion,Synonym(Phenotypes)
"Abortion, Habitual",Habitual Abortions,Synonym(Phenotypes)
"Abortion, Habitual",Habitual aborter,Synonym(Phenotypes)
"Abortion, Habitual",Habitual abortion,Synonym(Phenotypes)
"Abortion, Habitual","Miscarriage, Recurrent",Synonym(Phenotypes)
"Abortion, Habitual","Miscarriages, Recurrent",Synonym(Phenotypes)
"Abortion, Habitual",Recurrent Abortion,Synonym(Phenotypes)
"Abortion, Habitual",Recurrent Abortions,Synonym(Phenotypes)
"Abortion, Habitual",Recurrent Miscarriage,Synonym(Phenotypes)
"Abortion, Habitual",Recurrent Miscarriages,Synonym(Phenotypes)
"Abortion, Habitual",Recurrent aborter,Synonym(Phenotypes)
"Abortion, Habitual",Recurrent abortion,Synonym(Phenotypes)
"Abortion, Habitual",Recurrent miscarriage,Synonym(Phenotypes)
PA443228,MeSH:D000026,External_vocabulary(Phenotypes)
PA443228,SnoMedCT:102878001,External_vocabulary(Phenotypes)
PA443228,SnoMedCT:199086002,External_vocabulary(Phenotypes)
PA443228,SnoMedCT:199090000,External_vocabulary(Phenotypes)
PA443228,UMLS:C0000809,External_vocabulary(Phenotypes)
PA443228,MedDRA:10062935,External_vocabulary(Phenotypes)
PA443228,NDFRT:N0000000269,External_vocabulary(Phenotypes)
"Abortion, Spontaneous",PA443227,Name-PharmGKB_Id(Phenotypes)
PA443227,"Abortion, Spontaneous",PharmGKB_Id-Name(Phenotypes)
"Abortion, Spontaneous","Abortion, Tubal",Synonym(Phenotypes)
"Abortion, Spontaneous","Abortions, Spontaneous",Synonym(Phenotypes)
"Abortion, Spontaneous","Abortions, Tubal",Synonym(Phenotypes)
"Abortion, Spontaneous",Miscarriage,Synonym(Phenotypes)
"Abortion, Spontaneous","Miscarriage, NOS",Synonym(Phenotypes)
"Abortion, Spontaneous",Miscarriages,Synonym(Phenotypes)
"Abortion, Spontaneous",Spontaneous Abortion,Synonym(Phenotypes)
"Abortion, Spontaneous",Spontaneous Abortions,Synonym(Phenotypes)
"Abortion, Spontaneous",Spontaneous abortion NOS,Synonym(Phenotypes)
"Abortion, Spontaneous",Spontaneous abortion unspecified,Synonym(Phenotypes)
"Abortion, Spontaneous",Tubal Abortion,Synonym(Phenotypes)
"Abortion, Spontaneous",Tubal Abortions,Synonym(Phenotypes)
"Abortion, Spontaneous",Unspecified spontaneous abortion NOS,Synonym(Phenotypes)
PA443227,MeSH:D000022,External_vocabulary(Phenotypes)
PA443227,SnoMedCT:17369002,External_vocabulary(Phenotypes)
PA443227,SnoMedCT:198631006,External_vocabulary(Phenotypes)
PA443227,SnoMedCT:198643007,External_vocabulary(Phenotypes)
PA443227,SnoMedCT:198689000,External_vocabulary(Phenotypes)
PA443227,UMLS:C0000786,External_vocabulary(Phenotypes)
PA443227,MedDRA:10000234,External_vocabulary(Phenotypes)
PA443227,NDFRT:N0000000268,External_vocabulary(Phenotypes)
Abrasion of teeth NOS,PA165109187,Name-PharmGKB_Id(Phenotypes)
PA165109187,Abrasion of teeth NOS,PharmGKB_Id-Name(Phenotypes)
PA165109187,MeSH:D014072,External_vocabulary(Phenotypes)
PA165109187,SnoMedCT:196313006,External_vocabulary(Phenotypes)
PA165109187,UMLS:C0040428,External_vocabulary(Phenotypes)
PA165109187,MedDRA:10000247,External_vocabulary(Phenotypes)
PA165109187,NDFRT:N0000002971,External_vocabulary(Phenotypes)
Abscess,PA443235,Name-PharmGKB_Id(Phenotypes)
PA443235,Abscess,PharmGKB_Id-Name(Phenotypes)
Abscess,Abscess NOS,Synonym(Phenotypes)
Abscess,Abscess morphology,Synonym(Phenotypes)
Abscess,Abscesses,Synonym(Phenotypes)
Abscess,Acute abscess,Synonym(Phenotypes)
PA443235,MeSH:D000038,External_vocabulary(Phenotypes)
PA443235,SnoMedCT:128477000,External_vocabulary(Phenotypes)
PA443235,SnoMedCT:200694004,External_vocabulary(Phenotypes)
PA443235,SnoMedCT:44132006,External_vocabulary(Phenotypes)
PA443235,UMLS:C0000833,External_vocabulary(Phenotypes)
PA443235,MedDRA:10000269,External_vocabulary(Phenotypes)
PA443235,NDFRT:N0000000276,External_vocabulary(Phenotypes)
Acanthamoeba keratitis,PA165108199,Name-PharmGKB_Id(Phenotypes)
PA165108199,Acanthamoeba keratitis,PharmGKB_Id-Name(Phenotypes)
PA165108199,MeSH:D015823,External_vocabulary(Phenotypes)
PA165108199,SnoMedCT:231896005,External_vocabulary(Phenotypes)
PA165108199,UMLS:C0000880,External_vocabulary(Phenotypes)
PA165108199,NDFRT:N0000003328,External_vocabulary(Phenotypes)
Acanthosis Nigricans,PA443238,Name-PharmGKB_Id(Phenotypes)
PA443238,Acanthosis Nigricans,PharmGKB_Id-Name(Phenotypes)
Acanthosis Nigricans,Acanthosis nigricans,Synonym(Phenotypes)
PA443238,MeSH:D000052,External_vocabulary(Phenotypes)
PA443238,SnoMedCT:402599005,External_vocabulary(Phenotypes)
PA443238,UMLS:C0000889,External_vocabulary(Phenotypes)
PA443238,MedDRA:10000350,External_vocabulary(Phenotypes)
PA443238,NDFRT:N0000000279,External_vocabulary(Phenotypes)
Acatalasia,PA165108641,Name-PharmGKB_Id(Phenotypes)
PA165108641,Acatalasia,PharmGKB_Id-Name(Phenotypes)
Acatalasia,Acatalasaemia,Synonym(Phenotypes)
Acatalasia,Acatalasemia,Synonym(Phenotypes)
Acatalasia,Takahara disease,Synonym(Phenotypes)
PA165108641,MeSH:D020642,External_vocabulary(Phenotypes)
PA165108641,SnoMedCT:111393000,External_vocabulary(Phenotypes)
PA165108641,UMLS:C0268419,External_vocabulary(Phenotypes)
PA165108641,NDFRT:N0000004165,External_vocabulary(Phenotypes)
Accelerated idioventricular rhythm,PA165108428,Name-PharmGKB_Id(Phenotypes)
PA165108428,Accelerated idioventricular rhythm,PharmGKB_Id-Name(Phenotypes)
PA165108428,MeSH:D016170,External_vocabulary(Phenotypes)
PA165108428,SnoMedCT:61277005,External_vocabulary(Phenotypes)
PA165108428,UMLS:C0078888,External_vocabulary(Phenotypes)
PA165108428,MedDRA:10049003,External_vocabulary(Phenotypes)
PA165108428,NDFRT:N0000003382,External_vocabulary(Phenotypes)
Accelerated phase chronic myeloid leukemia,PA165108811,Name-PharmGKB_Id(Phenotypes)
PA165108811,Accelerated phase chronic myeloid leukemia,PharmGKB_Id-Name(Phenotypes)
Accelerated phase chronic myeloid leukemia,Accelerated phase chronic myeloid leukaemia,Synonym(Phenotypes)
PA165108811,MeSH:D015465,External_vocabulary(Phenotypes)
PA165108811,SnoMedCT:413389003,External_vocabulary(Phenotypes)
PA165108811,UMLS:C0023472,External_vocabulary(Phenotypes)
PA165108811,NDFRT:N0000003262,External_vocabulary(Phenotypes)
Accretions on teeth NOS,PA165108248,Name-PharmGKB_Id(Phenotypes)
PA165108248,Accretions on teeth NOS,PharmGKB_Id-Name(Phenotypes)
PA165108248,MeSH:D003741,External_vocabulary(Phenotypes)
PA165108248,SnoMedCT:196370001,External_vocabulary(Phenotypes)
PA165108248,UMLS:C0011346,External_vocabulary(Phenotypes)
PA165108248,MedDRA:10000395,External_vocabulary(Phenotypes)
PA165108248,NDFRT:N0000000920,External_vocabulary(Phenotypes)
Achlorhydria,PA443239,Name-PharmGKB_Id(Phenotypes)
PA443239,Achlorhydria,PharmGKB_Id-Name(Phenotypes)
Achlorhydria,Achylia Gastrica,Synonym(Phenotypes)
Achlorhydria,Achylia gastrica,Synonym(Phenotypes)
Achlorhydria,Hypochlorhydria,Synonym(Phenotypes)
PA443239,MeSH:D000126,External_vocabulary(Phenotypes)
PA443239,SnoMedCT:20754004,External_vocabulary(Phenotypes)
PA443239,SnoMedCT:47481007,External_vocabulary(Phenotypes)
PA443239,UMLS:C0001075,External_vocabulary(Phenotypes)
PA443239,MedDRA:10000451,External_vocabulary(Phenotypes)
PA443239,NDFRT:N0000000280,External_vocabulary(Phenotypes)
Achondroplasia,PA443240,Name-PharmGKB_Id(Phenotypes)
PA443240,Achondroplasia,PharmGKB_Id-Name(Phenotypes)
Achondroplasia,Achondroplasias,Synonym(Phenotypes)
Achondroplasia,Chondrodystrophia fetalis,Synonym(Phenotypes)
Achondroplasia,Osteosclerosis congenita,Synonym(Phenotypes)
PA443240,MeSH:D000130,External_vocabulary(Phenotypes)
PA443240,SnoMedCT:86268005,External_vocabulary(Phenotypes)
PA443240,UMLS:C0001080,External_vocabulary(Phenotypes)
PA443240,MedDRA:10000452,External_vocabulary(Phenotypes)
PA443240,NDFRT:N0000000281,External_vocabulary(Phenotypes)
Acid-Base Imbalance,PA166048806,Name-PharmGKB_Id(Phenotypes)
PA166048806,Acid-Base Imbalance,PharmGKB_Id-Name(Phenotypes)
PA166048806,NDFRT:N0000000282,External_vocabulary(Phenotypes)
Acidosis,PA443242,Name-PharmGKB_Id(Phenotypes)
PA443242,Acidosis,PharmGKB_Id-Name(Phenotypes)
Acidosis,Acidaemia NOS,Synonym(Phenotypes)
Acidosis,Acidoses,Synonym(Phenotypes)
Acidosis,"Acidosis, NOS",Synonym(Phenotypes)
PA443242,MeSH:D000138,External_vocabulary(Phenotypes)
PA443242,SnoMedCT:190887001,External_vocabulary(Phenotypes)
PA443242,SnoMedCT:51387008,External_vocabulary(Phenotypes)
PA443242,UMLS:C0001122,External_vocabulary(Phenotypes)
PA443242,MedDRA:10000486,External_vocabulary(Phenotypes)
PA443242,NDFRT:N0000000283,External_vocabulary(Phenotypes)
"Acidosis, Lactic",PA443243,Name-PharmGKB_Id(Phenotypes)
PA443243,"Acidosis, Lactic",PharmGKB_Id-Name(Phenotypes)
"Acidosis, Lactic",Lactic Acidosis,Synonym(Phenotypes)
PA443243,MeSH:D000140,External_vocabulary(Phenotypes)
PA443243,SnoMedCT:91273001,External_vocabulary(Phenotypes)
PA443243,UMLS:C0001125,External_vocabulary(Phenotypes)
PA443243,MedDRA:10000491,External_vocabulary(Phenotypes)
PA443243,NDFRT:N0000000284,External_vocabulary(Phenotypes)
"Acidosis, Renal Tubular",PA443244,Name-PharmGKB_Id(Phenotypes)
PA443244,"Acidosis, Renal Tubular",PharmGKB_Id-Name(Phenotypes)
"Acidosis, Renal Tubular","Acidoses, Renal Tubular",Synonym(Phenotypes)
"Acidosis, Renal Tubular","Acidosis, Renal Tubular, Type I",Synonym(Phenotypes)
"Acidosis, Renal Tubular","Acidosis, Renal Tubular, Type II",Synonym(Phenotypes)
"Acidosis, Renal Tubular",Classic Distal Renal Tubular Acidosis,Synonym(Phenotypes)
"Acidosis, Renal Tubular",Distal Renal Tubular Acidosis,Synonym(Phenotypes)
"Acidosis, Renal Tubular",Proximal Renal Tubular Acidosis,Synonym(Phenotypes)
"Acidosis, Renal Tubular",RTA,Synonym(Phenotypes)
"Acidosis, Renal Tubular",RTA - Renal tubular acidosis,Synonym(Phenotypes)
"Acidosis, Renal Tubular","RTA, NOS",Synonym(Phenotypes)
"Acidosis, Renal Tubular",Renal Tubular Acidoses,Synonym(Phenotypes)
"Acidosis, Renal Tubular",Renal Tubular Acidosis,Synonym(Phenotypes)
"Acidosis, Renal Tubular","Renal tubular acidosis, NOS",Synonym(Phenotypes)
"Acidosis, Renal Tubular",Renotubular acidaemia,Synonym(Phenotypes)
"Acidosis, Renal Tubular",Renotubular acidemia,Synonym(Phenotypes)
"Acidosis, Renal Tubular","Tubular Acidoses, Renal",Synonym(Phenotypes)
"Acidosis, Renal Tubular","Tubular Acidosis, Renal",Synonym(Phenotypes)
"Acidosis, Renal Tubular",Type I Renal Tubular Acidosis,Synonym(Phenotypes)
"Acidosis, Renal Tubular",Type II Renal Tubular Acidosis,Synonym(Phenotypes)
PA443244,MeSH:D000141,External_vocabulary(Phenotypes)
PA443244,SnoMedCT:1776003,External_vocabulary(Phenotypes)
PA443244,UMLS:C0001126,External_vocabulary(Phenotypes)
PA443244,MedDRA:10000494,External_vocabulary(Phenotypes)
PA443244,NDFRT:N0000000285,External_vocabulary(Phenotypes)
"Acidosis, Respiratory",PA166048819,Name-PharmGKB_Id(Phenotypes)
PA166048819,"Acidosis, Respiratory",PharmGKB_Id-Name(Phenotypes)
PA166048819,NDFRT:N0000000286,External_vocabulary(Phenotypes)
Acinetobacter Infections,PA166048775,Name-PharmGKB_Id(Phenotypes)
PA166048775,Acinetobacter Infections,PharmGKB_Id-Name(Phenotypes)
PA166048775,NDFRT:N0000000287,External_vocabulary(Phenotypes)
Acne Vulgaris,PA443247,Name-PharmGKB_Id(Phenotypes)
PA443247,Acne Vulgaris,PharmGKB_Id-Name(Phenotypes)
Acne Vulgaris,Acne,Synonym(Phenotypes)
Acne Vulgaris,Acne vulgaris,Synonym(Phenotypes)
PA443247,MeSH:D000152,External_vocabulary(Phenotypes)
PA443247,SnoMedCT:88616000,External_vocabulary(Phenotypes)
PA443247,UMLS:C0001144,External_vocabulary(Phenotypes)
PA443247,MedDRA:10000519,External_vocabulary(Phenotypes)
PA443247,NDFRT:N0000000288,External_vocabulary(Phenotypes)
Acne keloid,PA165109141,Name-PharmGKB_Id(Phenotypes)
PA165109141,Acne keloid,PharmGKB_Id-Name(Phenotypes)
PA165109141,MeSH:D000153,External_vocabulary(Phenotypes)
PA165109141,SnoMedCT:238746008,External_vocabulary(Phenotypes)
PA165109141,UMLS:C0001145,External_vocabulary(Phenotypes)
PA165109141,MedDRA:10051699,External_vocabulary(Phenotypes)
PA165109141,NDFRT:N0000000289,External_vocabulary(Phenotypes)
Acne keloidalis,PA165109071,Name-PharmGKB_Id(Phenotypes)
PA165109071,Acne keloidalis,PharmGKB_Id-Name(Phenotypes)
Acne keloidalis,Acne cheloidalis,Synonym(Phenotypes)
PA165109071,MeSH:D000153,External_vocabulary(Phenotypes)
PA165109071,SnoMedCT:238742005,External_vocabulary(Phenotypes)
PA165109071,UMLS:C0001145,External_vocabulary(Phenotypes)
PA165109071,MedDRA:10051699,External_vocabulary(Phenotypes)
PA165109071,NDFRT:N0000000289,External_vocabulary(Phenotypes)
Acoustic nerve disorder NOS,PA165108941,Name-PharmGKB_Id(Phenotypes)
PA165108941,Acoustic nerve disorder NOS,PharmGKB_Id-Name(Phenotypes)
PA165108941,MeSH:D000160,External_vocabulary(Phenotypes)
PA165108941,SnoMedCT:194402005,External_vocabulary(Phenotypes)
PA165108941,UMLS:C0001163,External_vocabulary(Phenotypes)
PA165108941,MedDRA:10000521,External_vocabulary(Phenotypes)
PA165108941,NDFRT:N0000000290,External_vocabulary(Phenotypes)
Acquired Immunodeficiency Syndrome,PA443250,Name-PharmGKB_Id(Phenotypes)
PA443250,Acquired Immunodeficiency Syndrome,PharmGKB_Id-Name(Phenotypes)
Acquired Immunodeficiency Syndrome,AIDS,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"AIDS, NOS",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,AIDS-related complex,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,Acquired Immune Deficiency Syndrome,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,Acquired Immuno Deficiency Syndrome,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,Acquired Immuno-Deficiency Syndrome,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,Acquired Immuno-Deficiency Syndromes,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,Acquired Immunodeficiency Syndromes,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,Acquired human immunodeficiency virus infection syndrome NOS,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,Acquired immunodeficiency syndrome,Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Immuno-Deficiency Syndrome, Acquired",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Immuno-Deficiency Syndromes, Acquired",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Immunodeficiency Syndrome, Acquired",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Immunodeficiency Syndromes, Acquired",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Immunologic Deficiency Syndrome, Acquired",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Syndrome, Acquired Immuno-Deficiency",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Syndrome, Acquired Immunodeficiency",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Syndromes, Acquired Immuno-Deficiency",Synonym(Phenotypes)
Acquired Immunodeficiency Syndrome,"Syndromes, Acquired Immunodeficiency",Synonym(Phenotypes)
PA443250,MeSH:D000163,External_vocabulary(Phenotypes)
PA443250,MeSH:D000386,External_vocabulary(Phenotypes)
PA443250,SnoMedCT:186715004,External_vocabulary(Phenotypes)
PA443250,SnoMedCT:62246005,External_vocabulary(Phenotypes)
PA443250,SnoMedCT:62479008,External_vocabulary(Phenotypes)
PA443250,UMLS:C0001175,External_vocabulary(Phenotypes)
PA443250,UMLS:C0001857,External_vocabulary(Phenotypes)
PA443250,MedDRA:10000562,External_vocabulary(Phenotypes)
PA443250,NDFRT:N0000000291,External_vocabulary(Phenotypes)
Acquired Long QT Syndrome (aLQTS),PA447300,Name-PharmGKB_Id(Phenotypes)
PA447300,Acquired Long QT Syndrome (aLQTS),PharmGKB_Id-Name(Phenotypes)
Acquired epileptic aphasia,PA165108647,Name-PharmGKB_Id(Phenotypes)
PA165108647,Acquired epileptic aphasia,PharmGKB_Id-Name(Phenotypes)
Acquired epileptic aphasia,Landau-Kleffner syndrome,Synonym(Phenotypes)
PA165108647,MeSH:D018887,External_vocabulary(Phenotypes)
PA165108647,SnoMedCT:230438007,External_vocabulary(Phenotypes)
PA165108647,UMLS:C0282512,External_vocabulary(Phenotypes)
PA165108647,MedDRA:10052075,External_vocabulary(Phenotypes)
PA165108647,NDFRT:N0000003874,External_vocabulary(Phenotypes)
Acquired hallux rigidus,PA165109048,Name-PharmGKB_Id(Phenotypes)
PA165109048,Acquired hallux rigidus,PharmGKB_Id-Name(Phenotypes)
Acquired hallux rigidus,Hallux rigidus,Synonym(Phenotypes)
PA165109048,MeSH:D020859,External_vocabulary(Phenotypes)
PA165109048,SnoMedCT:6654000,External_vocabulary(Phenotypes)
