PharmGKB_Id,Name,Alternate_names,Cross-reference,External_Vocabulary
PharmGKB:PA165108723,Abnormal tooth spacing NOS,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D003970"""""",""""""SnoMedCT:196411007"""""",""""""UMLS:C0011998"""""",""""""NDFRT:N0000000966""""""]"
PharmGKB:PA443224,"Abnormalities, Drug-Induced","[""""""Abnormalities, Drug Induced"""""",""""""Abnormality, Drug-Induced"""""",""""""Drug Induced Abnormalities"""""",""""""Drug-Induced Abnormalities"""""",""""""Drug-Induced Abnormality""""""]","[""""""""""""]","[""""""MeSH:D000014"""""",""""""UMLS:C0000771"""""",""""""NDFRT:N0000000265""""""]"
PharmGKB:PA443225,"Abnormalities, Multiple","[""""""Multiple Abnormalities"""""",""""""Multiple congenital anomalies NOS"""""",""""""Multiple congenital malformations""""""]","[""""""""""""]","[""""""MeSH:D000015"""""",""""""SnoMedCT:116022009"""""",""""""SnoMedCT:205784002"""""",""""""SnoMedCT:67024003"""""",""""""UMLS:C0000772"""""",""""""MedDRA:10002585"""""",""""""NDFRT:N0000000266""""""]"
PharmGKB:PA443228,"Abortion, Habitual","[""""""Abortion, Recurrent"""""",""""""Abortions, Habitual"""""",""""""Abortions, Recurrent"""""",""""""Habitual Abortion"""""",""""""Habitual Abortions"""""",""""""Habitual aborter"""""",""""""Habitual abortion"""""",""""""Miscarriage, Recurrent"""""",""""""Miscarriages, Recurrent"""""",""""""Recurrent Abortion"""""",""""""Recurrent Abortions"""""",""""""Recurrent Miscarriage"""""",""""""Recurrent Miscarriages"""""",""""""Recurrent aborter"""""",""""""Recurrent abortion"""""",""""""Recurrent miscarriage""""""]","[""""""""""""]","[""""""MeSH:D000026"""""",""""""SnoMedCT:102878001"""""",""""""SnoMedCT:199086002"""""",""""""SnoMedCT:199090000"""""",""""""UMLS:C0000809"""""",""""""MedDRA:10062935"""""",""""""NDFRT:N0000000269""""""]"
PharmGKB:PA443227,"Abortion, Spontaneous","[""""""Abortion, Tubal"""""",""""""Abortions, Spontaneous"""""",""""""Abortions, Tubal"""""",""""""Miscarriage"""""",""""""Miscarriage, NOS"""""",""""""Miscarriages"""""",""""""Spontaneous Abortion"""""",""""""Spontaneous Abortions"""""",""""""Spontaneous abortion NOS"""""",""""""Spontaneous abortion unspecified"""""",""""""Tubal Abortion"""""",""""""Tubal Abortions"""""",""""""Unspecified spontaneous abortion NOS""""""]","[""""""""""""]","[""""""MeSH:D000022"""""",""""""SnoMedCT:17369002"""""",""""""SnoMedCT:198631006"""""",""""""SnoMedCT:198643007"""""",""""""SnoMedCT:198689000"""""",""""""UMLS:C0000786"""""",""""""MedDRA:10000234"""""",""""""NDFRT:N0000000268""""""]"
PharmGKB:PA165109187,Abrasion of teeth NOS,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D014072"""""",""""""SnoMedCT:196313006"""""",""""""UMLS:C0040428"""""",""""""MedDRA:10000247"""""",""""""NDFRT:N0000002971""""""]"
PharmGKB:PA443235,Abscess,"[""""""Abscess NOS"""""",""""""Abscess morphology"""""",""""""Abscesses"""""",""""""Acute abscess""""""]","[""""""""""""]","[""""""MeSH:D000038"""""",""""""SnoMedCT:128477000"""""",""""""SnoMedCT:200694004"""""",""""""SnoMedCT:44132006"""""",""""""UMLS:C0000833"""""",""""""MedDRA:10000269"""""",""""""NDFRT:N0000000276""""""]"
PharmGKB:PA165108199,Acanthamoeba keratitis,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D015823"""""",""""""SnoMedCT:231896005"""""",""""""UMLS:C0000880"""""",""""""NDFRT:N0000003328""""""]"
PharmGKB:PA443238,Acanthosis Nigricans,"[""""""Acanthosis nigricans""""""]","[""""""""""""]","[""""""MeSH:D000052"""""",""""""SnoMedCT:402599005"""""",""""""UMLS:C0000889"""""",""""""MedDRA:10000350"""""",""""""NDFRT:N0000000279""""""]"
PharmGKB:PA165108641,Acatalasia,"[""""""Acatalasaemia"""""",""""""Acatalasemia"""""",""""""Takahara disease""""""]","[""""""""""""]","[""""""MeSH:D020642"""""",""""""SnoMedCT:111393000"""""",""""""UMLS:C0268419"""""",""""""NDFRT:N0000004165""""""]"
PharmGKB:PA165108428,Accelerated idioventricular rhythm,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D016170"""""",""""""SnoMedCT:61277005"""""",""""""UMLS:C0078888"""""",""""""MedDRA:10049003"""""",""""""NDFRT:N0000003382""""""]"
PharmGKB:PA165108811,Accelerated phase chronic myeloid leukemia,"[""""""Accelerated phase chronic myeloid leukaemia""""""]","[""""""""""""]","[""""""MeSH:D015465"""""",""""""SnoMedCT:413389003"""""",""""""UMLS:C0023472"""""",""""""NDFRT:N0000003262""""""]"
PharmGKB:PA165108248,Accretions on teeth NOS,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D003741"""""",""""""SnoMedCT:196370001"""""",""""""UMLS:C0011346"""""",""""""MedDRA:10000395"""""",""""""NDFRT:N0000000920""""""]"
PharmGKB:PA443239,Achlorhydria,"[""""""Achylia Gastrica"""""",""""""Achylia gastrica"""""",""""""Hypochlorhydria""""""]","[""""""""""""]","[""""""MeSH:D000126"""""",""""""SnoMedCT:20754004"""""",""""""SnoMedCT:47481007"""""",""""""UMLS:C0001075"""""",""""""MedDRA:10000451"""""",""""""NDFRT:N0000000280""""""]"
PharmGKB:PA443240,Achondroplasia,"[""""""Achondroplasias"""""",""""""Chondrodystrophia fetalis"""""",""""""Osteosclerosis congenita""""""]","[""""""""""""]","[""""""MeSH:D000130"""""",""""""SnoMedCT:86268005"""""",""""""UMLS:C0001080"""""",""""""MedDRA:10000452"""""",""""""NDFRT:N0000000281""""""]"
PharmGKB:PA166048806,Acid-Base Imbalance,"[""""""""""""]","[""""""""""""]","[""""""NDFRT:N0000000282""""""]"
PharmGKB:PA443242,Acidosis,"[""""""Acidaemia NOS"""""",""""""Acidoses"""""",""""""Acidosis, NOS""""""]","[""""""""""""]","[""""""MeSH:D000138"""""",""""""SnoMedCT:190887001"""""",""""""SnoMedCT:51387008"""""",""""""UMLS:C0001122"""""",""""""MedDRA:10000486"""""",""""""NDFRT:N0000000283""""""]"
PharmGKB:PA443243,"Acidosis, Lactic","[""""""Lactic Acidosis""""""]","[""""""""""""]","[""""""MeSH:D000140"""""",""""""SnoMedCT:91273001"""""",""""""UMLS:C0001125"""""",""""""MedDRA:10000491"""""",""""""NDFRT:N0000000284""""""]"
PharmGKB:PA443244,"Acidosis, Renal Tubular","[""""""Acidoses, Renal Tubular"""""",""""""Acidosis, Renal Tubular, Type I"""""",""""""Acidosis, Renal Tubular, Type II"""""",""""""Classic Distal Renal Tubular Acidosis"""""",""""""Distal Renal Tubular Acidosis"""""",""""""Proximal Renal Tubular Acidosis"""""",""""""RTA"""""",""""""RTA - Renal tubular acidosis"""""",""""""RTA, NOS"""""",""""""Renal Tubular Acidoses"""""",""""""Renal Tubular Acidosis"""""",""""""Renal tubular acidosis, NOS"""""",""""""Renotubular acidaemia"""""",""""""Renotubular acidemia"""""",""""""Tubular Acidoses, Renal"""""",""""""Tubular Acidosis, Renal"""""",""""""Type I Renal Tubular Acidosis"""""",""""""Type II Renal Tubular Acidosis""""""]","[""""""""""""]","[""""""MeSH:D000141"""""",""""""SnoMedCT:1776003"""""",""""""UMLS:C0001126"""""",""""""MedDRA:10000494"""""",""""""NDFRT:N0000000285""""""]"
PharmGKB:PA166048819,"Acidosis, Respiratory","[""""""""""""]","[""""""""""""]","[""""""NDFRT:N0000000286""""""]"
PharmGKB:PA166048775,Acinetobacter Infections,"[""""""""""""]","[""""""""""""]","[""""""NDFRT:N0000000287""""""]"
PharmGKB:PA443247,Acne Vulgaris,"[""""""Acne"""""",""""""Acne vulgaris""""""]","[""""""""""""]","[""""""MeSH:D000152"""""",""""""SnoMedCT:88616000"""""",""""""UMLS:C0001144"""""",""""""MedDRA:10000519"""""",""""""NDFRT:N0000000288""""""]"
PharmGKB:PA165109141,Acne keloid,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D000153"""""",""""""SnoMedCT:238746008"""""",""""""UMLS:C0001145"""""",""""""MedDRA:10051699"""""",""""""NDFRT:N0000000289""""""]"
PharmGKB:PA165109071,Acne keloidalis,"[""""""Acne cheloidalis""""""]","[""""""""""""]","[""""""MeSH:D000153"""""",""""""SnoMedCT:238742005"""""",""""""UMLS:C0001145"""""",""""""MedDRA:10051699"""""",""""""NDFRT:N0000000289""""""]"
PharmGKB:PA165108941,Acoustic nerve disorder NOS,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D000160"""""",""""""SnoMedCT:194402005"""""",""""""UMLS:C0001163"""""",""""""MedDRA:10000521"""""",""""""NDFRT:N0000000290""""""]"
PharmGKB:PA443250,Acquired Immunodeficiency Syndrome,"[""""""AIDS"""""",""""""AIDS, NOS"""""",""""""AIDS-related complex"""""",""""""Acquired Immune Deficiency Syndrome"""""",""""""Acquired Immuno Deficiency Syndrome"""""",""""""Acquired Immuno-Deficiency Syndrome"""""",""""""Acquired Immuno-Deficiency Syndromes"""""",""""""Acquired Immunodeficiency Syndromes"""""",""""""Acquired human immunodeficiency virus infection syndrome NOS"""""",""""""Acquired immunodeficiency syndrome"""""",""""""Immuno-Deficiency Syndrome, Acquired"""""",""""""Immuno-Deficiency Syndromes, Acquired"""""",""""""Immunodeficiency Syndrome, Acquired"""""",""""""Immunodeficiency Syndromes, Acquired"""""",""""""Immunologic Deficiency Syndrome, Acquired"""""",""""""Syndrome, Acquired Immuno-Deficiency"""""",""""""Syndrome, Acquired Immunodeficiency"""""",""""""Syndromes, Acquired Immuno-Deficiency"""""",""""""Syndromes, Acquired Immunodeficiency""""""]","[""""""""""""]","[""""""MeSH:D000163"""""",""""""MeSH:D000386"""""",""""""SnoMedCT:186715004"""""",""""""SnoMedCT:62246005"""""",""""""SnoMedCT:62479008"""""",""""""UMLS:C0001175"""""",""""""UMLS:C0001857"""""",""""""MedDRA:10000562"""""",""""""NDFRT:N0000000291""""""]"
PharmGKB:PA447300,Acquired Long QT Syndrome (aLQTS),"[""""""""""""]","[""""""""""""]","[""""""""""""]"
PharmGKB:PA165108647,Acquired epileptic aphasia,"[""""""Landau-Kleffner syndrome""""""]","[""""""""""""]","[""""""MeSH:D018887"""""",""""""SnoMedCT:230438007"""""",""""""UMLS:C0282512"""""",""""""MedDRA:10052075"""""",""""""NDFRT:N0000003874""""""]"
PharmGKB:PA165109048,Acquired hallux rigidus,"[""""""Hallux rigidus""""""]","[""""""""""""]","[""""""MeSH:D020859"""""",""""""SnoMedCT:6654000"""""",""""""UMLS:C0264134"""""",""""""MedDRA:10019092"""""",""""""NDFRT:N0000004211""""""]"
PharmGKB:PA165108992,Acquired immune deficiency syndrome-related complex,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D000386"""""",""""""SnoMedCT:240611008"""""",""""""UMLS:C0001857"""""",""""""MedDRA:10000567"""""",""""""NDFRT:N0000000344""""""]"
PharmGKB:PA165108133,Acquired immune deficiency syndrome-related nephropathy,"[""""""AIDS - Acquired immune deficiency synd-related nephropathy"""""",""""""Human immunodeficiency virus-related nephropathy""""""]","[""""""""""""]","[""""""MeSH:D016263"""""",""""""SnoMedCT:236406007"""""",""""""UMLS:C0078911"""""",""""""NDFRT:N0000003389""""""]"
PharmGKB:PA152068054,Acquired partial lipodystrophy,"[""""""Hollander-Simons syndrome"""""",""""""Lipodystrophy, Acquired Partial"""""",""""""Progressive partial lipodystrophy""""""]","[""""""""""""]","[""""""SnoMedCT:75659004"""""",""""""UMLS:C0220989"""""",""""""MedDRA:10053857""""""]"
PharmGKB:PA165108438,Acquired pes,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D005531"""""",""""""SnoMedCT:111260007"""""",""""""UMLS:C0016507"""""",""""""NDFRT:N0000001273""""""]"
PharmGKB:PA165108344,Acquired trigger finger,"[""""""Nodular tendinous disease of finger"""""",""""""Trigger finger"""""",""""""Triggering of finger""""""]","[""""""""""""]","[""""""MeSH:D052582"""""",""""""SnoMedCT:1539003"""""",""""""UMLS:C0158328"""""",""""""MedDRA:10044654"""""",""""""NDFRT:N0000181057""""""]"
PharmGKB:PA152249159,Acrocephalopolysyndactyly type II,"[""""""Carpenter Syndrome""""""]","[""""""""""""]","[""""""SnoMedCT:403767009"""""",""""""UMLS:C1275078""""""]"
PharmGKB:PA443251,Acrocephalosyndactylia,"[""""""Acrocephalosyndactylias"""""",""""""Acrocephalosyndactyly"""""",""""""Acrocephalosyndactyly (Apert)"""""",""""""Acrocephalosyndactyly type I"""""",""""""Apert Syndrome"""""",""""""Apert's syndrome"""""",""""""Pfeiffer Syndrome"""""",""""""Saethre Chotzen Syndrome"""""",""""""Saethre-Chotzen Syndrome"""""",""""""Syndrome, Apert"""""",""""""Syndrome, Pfeiffer"""""",""""""Syndrome, Saethre-Chotzen""""""]","[""""""""""""]","[""""""MeSH:D000168"""""",""""""SnoMedCT:205258009"""""",""""""SnoMedCT:268262006"""""",""""""UMLS:C1510455"""""",""""""MedDRA:10000590"""""",""""""NDFRT:N0000000292""""""]"
PharmGKB:PA165108831,Acrodynia due to mercury,"[""""""Erythredema polyneuropathy"""""",""""""Erythroedema polyneuropathy""""""]","[""""""""""""]","[""""""MeSH:D000170"""""",""""""SnoMedCT:66695004"""""",""""""UMLS:C0001198"""""",""""""MedDRA:10000598"""""",""""""NDFRT:N0000000294""""""]"
PharmGKB:PA443254,Acromegaly,"[""""""Hypersecretion Syndrome, Somatotropin (Acromegaly)"""""",""""""Hypersecretion Syndromes, Somatotropin (Acromegaly)"""""",""""""Inappropriate GH Secretion Syndrome (Acromegaly)"""""",""""""Inappropriate Growth Hormone Secretion Syndrome (Acromegaly)"""""",""""""Somatotropin Hypersecretion Syndrome (Acromegaly)"""""",""""""Somatotropin Hypersecretion Syndromes (Acromegaly)"""""",""""""Syndrome, Somatotropin Hypersecretion (Acromegaly)"""""",""""""Syndromes, Somatotropin Hypersecretion (Acromegaly)""""""]","[""""""""""""]","[""""""MeSH:D000172"""""",""""""SnoMedCT:74107003"""""",""""""UMLS:C0001206"""""",""""""MedDRA:10000599"""""",""""""NDFRT:N0000000295""""""]"
PharmGKB:PA166048822,Actinomycetales Infections,"[""""""""""""]","[""""""""""""]","[""""""NDFRT:N0000000299""""""]"
PharmGKB:PA165108511,Actinomycosis unspecified site NOS,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D000196"""""",""""""SnoMedCT:186405006"""""",""""""UMLS:C0001261"""""",""""""MedDRA:10000620"""""",""""""NDFRT:N0000000300""""""]"
PharmGKB:PA446880,Activated Protein C Resistance,"[""""""APC Resistance"""""",""""""Activated protein C resistance"""""",""""""Resistance to activated protein C due to Factor V Leiden"""""",""""""Resistance to activated protein C due to Factor V R506Q"""""",""""""Resistance, APC""""""]","[""""""""""""]","[""""""MeSH:D020016"""""",""""""SnoMedCT:421527008"""""",""""""UMLS:C0600433"""""",""""""MedDRA:10056867"""""",""""""NDFRT:N0000003983""""""]"
PharmGKB:PA164924608,Acute Necrotizing Encephalopathy,"[""""""""""""]","[""""""""""""]","[""""""""""""]"
PharmGKB:PA165109055,Acute abdomen,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D000006"""""",""""""SnoMedCT:9209005"""""",""""""UMLS:C0000727"""""",""""""MedDRA:10000096"""""",""""""NDFRT:N0000000260""""""]"
PharmGKB:PA165108963,Acute bovine pulmonary emphysema AND edema,"[""""""ABPE"""""",""""""Acute bovine pulmonary emphysema and edema"""""",""""""Atypical interstitial pneumonia"""""",""""""Atypical interstitial pneumonia in cattle""""""]","[""""""""""""]","[""""""MeSH:D011016"""""",""""""SnoMedCT:20606002"""""",""""""UMLS:C0032291"""""",""""""NDFRT:N0000010988""""""]"
PharmGKB:PA165108810,Acute cholecystitis NOS,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D041881"""""",""""""SnoMedCT:197411000"""""",""""""UMLS:C0149520"""""",""""""MedDRA:10000691"""""",""""""NDFRT:N0000010952""""""]"
PharmGKB:PA165108452,Acute cholecystitis unspecified,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D041881"""""",""""""SnoMedCT:197409009"""""",""""""UMLS:C0149520"""""",""""""MedDRA:10000691"""""",""""""NDFRT:N0000010952""""""]"
PharmGKB:PA165108401,Acute coronary syndrome,"[""""""ACS - Acute coronary syndrome""""""]","[""""""""""""]","[""""""MeSH:D054058"""""",""""""SnoMedCT:394659003"""""",""""""UMLS:C0948089"""""",""""""MedDRA:10051592"""""",""""""NDFRT:N0000181188""""""]"
PharmGKB:PA165108439,Acute hemorrhagic leukoencephalitis,"[""""""Acute haemorrhagic leucoencephalitis of Weston Hurst"""""",""""""Acute hemorrhagic leukoencephalitis of Weston Hurst""""""]","[""""""""""""]","[""""""MeSH:D004684"""""",""""""SnoMedCT:72986009"""""",""""""UMLS:C0014077"""""",""""""MedDRA:10058994"""""",""""""NDFRT:N0000001089""""""]"
PharmGKB:PA165108472,Acute necrosis of liver NOS,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D047508"""""",""""""SnoMedCT:197273006"""""",""""""UMLS:C0001364"""""",""""""MedDRA:10003695"""""",""""""NDFRT:N0000011090""""""]"
PharmGKB:PA165108252,Acute necrotizing pancreatitis,"[""""""Necrotizing pancreatitis""""""]","[""""""""""""]","[""""""MeSH:D019283"""""",""""""SnoMedCT:7881005"""""",""""""UMLS:C0267941"""""",""""""MedDRA:10056219"""""",""""""NDFRT:N0000003910""""""]"
PharmGKB:PA165108653,Acute necrotizing ulcerative gingivostomatitis,"[""""""Acute necrotising ulcerative gingivostomatitis"""""",""""""Vincent's stomatitis""""""]","[""""""""""""]","[""""""MeSH:D005892"""""",""""""SnoMedCT:173599005"""""",""""""UMLS:C0017575"""""",""""""MedDRA:10056687"""""",""""""NDFRT:N0000001343""""""]"
PharmGKB:PA165109060,"Acute paralytic poliomyelitis, bulbar","[""""""Acute anterior bulbar polioencephalomyelitis"""""",""""""Acute anterior poliomyelitis"""""",""""""Acute infantile paralysis"""""",""""""Acute paralytic bulbar poliomyelitis"""""",""""""Acute paralytic poliomyelitis specified as bulbar""""""]","[""""""""""""]","[""""""MeSH:D011052"""""",""""""SnoMedCT:64764001"""""",""""""UMLS:C0032372"""""",""""""MedDRA:10000675"""""",""""""NDFRT:N0000002450""""""]"
PharmGKB:PA165108274,Acute stress reaction NOS,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D040701"""""",""""""SnoMedCT:268657003"""""",""""""UMLS:C0236816"""""",""""""MedDRA:10001039"""""",""""""NDFRT:N0000011158""""""]"
PharmGKB:PA165108138,Acute suppurative thyroiditis,"[""""""Abscess of thyroid"""""",""""""Pyogenic thyroiditis""""""]","[""""""""""""]","[""""""MeSH:D013969"""""",""""""SnoMedCT:25476006"""""",""""""UMLS:C0040150"""""",""""""NDFRT:N0000002947""""""]"
PharmGKB:PA165109110,Acute ulcerative gingivitis,"[""""""ANUG - Acute necrotising ulcerative gingivitis"""""",""""""ANUG - Acute necrotizing ulcerative gingivitis"""""",""""""AUG - Acute ulcerative gingivitis"""""",""""""Vincent's disease"""""",""""""Vincent's gingivitis""""""]","[""""""""""""]","[""""""MeSH:D005892"""""",""""""SnoMedCT:172697005"""""",""""""UMLS:C0017575"""""",""""""MedDRA:10056687"""""",""""""NDFRT:N0000001343""""""]"
PharmGKB:PA443262,Acute-Phase Reaction,"[""""""Acute Phase Reaction"""""",""""""Acute Phase State"""""",""""""Acute-Phase Response"""""",""""""Acute-Phase State"""""",""""""Reaction, Acute Phase"""""",""""""Reaction, Acute-Phase"""""",""""""Response, Acute Phase"""""",""""""Response, Acute-Phase"""""",""""""State, Acute-Phase""""""]","[""""""""""""]","[""""""MeSH:D000210"""""",""""""UMLS:C0001349"""""",""""""NDFRT:N0000000303""""""]"
PharmGKB:PA443264,Addison Disease,"[""""""Addison Disease"""""",""""""Addison's Disease"""""",""""""Addisons Disease"""""",""""""Disease, Addison"""""",""""""Disease, Addison's"""""",""""""Primary adrenocortical insufficiency"""""",""""""Primary hypoadrenalism""""""]","[""""""""""""]","[""""""MeSH:D000224"""""",""""""SnoMedCT:363732003"""""",""""""SnoMedCT:373662000"""""",""""""UMLS:C0001403"""""",""""""MedDRA:10001130"""""",""""""NDFRT:N0000000305""""""]"
PharmGKB:PA443265,Adenocarcinoma,"[""""""Adenocarcinoma, Basal Cell"""""",""""""Adenocarcinoma, Granular Cell"""""",""""""Adenocarcinoma, NOS"""""",""""""Adenocarcinoma, Oxyphilic"""""",""""""Adenocarcinoma, Tubular"""""",""""""Adenocarcinoma, no subtype"""""",""""""Adenocarcinomas"""""",""""""Adenocarcinomas, Basal Cell"""""",""""""Adenocarcinomas, Granular Cell"""""",""""""Adenocarcinomas, Oxyphilic"""""",""""""Adenocarcinomas, Tubular"""""",""""""Adenoma, Malignant"""""",""""""Adenomas, Malignant"""""",""""""Basal Cell Adenocarcinoma"""""",""""""Basal Cell Adenocarcinomas"""""",""""""Carcinoma, Cribriform"""""",""""""Carcinoma, Granular Cell"""""",""""""Carcinoma, Tubular"""""",""""""Carcinomas, Cribriform"""""",""""""Carcinomas, Granular Cell"""""",""""""Carcinomas, Tubular"""""",""""""Cribriform Carcinoma"""""",""""""Cribriform Carcinomas"""""",""""""Granular Cell Adenocarcinoma"""""",""""""Granular Cell Adenocarcinomas"""""",""""""Granular Cell Carcinoma"""""",""""""Granular Cell Carcinomas"""""",""""""Malignant Adenoma"""""",""""""Malignant Adenomas"""""",""""""Oxyphilic Adenocarcinoma"""""",""""""Oxyphilic Adenocarcinomas"""""",""""""Tubular Adenocarcinoma"""""",""""""Tubular Adenocarcinomas"""""",""""""Tubular Carcinoma"""""",""""""Tubular Carcinomas""""""]","[""""""""""""]","[""""""MeSH:D000230"""""",""""""SnoMedCT:35917007"""""",""""""UMLS:C0001418"""""",""""""MedDRA:10001141"""""",""""""NDFRT:N0000000306""""""]"
PharmGKB:PA443615,"Adenocarcinoma, Bronchiolo-Alveolar","[""""""Adenocarcinoma, Alveolar"""""",""""""Adenocarcinoma, Bronchiolo Alveolar"""""",""""""Adenocarcinomas, Alveolar"""""",""""""Adenocarcinomas, Bronchiolo-Alveolar"""""",""""""Alveolar Adenocarcinoma"""""",""""""Alveolar Adenocarcinomas"""""",""""""Alveolar Carcinoma"""""",""""""Alveolar Carcinomas"""""",""""""Alveolar adenocarcinoma"""""",""""""Alveolar carcinoma"""""",""""""Alveolar cell carcinoma"""""",""""""Bronchiolar Carcinoma"""""",""""""Bronchiolar Carcinomas"""""",""""""Bronchiolar adenocarcinoma"""""",""""""Bronchiolar carcinoma"""""",""""""Bronchiolo-Alveolar Adenocarcinoma"""""",""""""Bronchiolo-Alveolar Adenocarcinomas"""""",""""""Bronchiolo-Alveolar Carcinoma"""""",""""""Bronchiolo-Alveolar Carcinomas"""""",""""""Bronchiolo-alveolar adenocarcinoma"""""",""""""Bronchiolo-alveolar carcinoma"""""",""""""Bronchioloalveolar Carcinoma"""""",""""""Bronchioloalveolar Carcinomas"""""",""""""Bronchioloalveolar carcinoma"""""",""""""Carcinoma, Alveolar"""""",""""""Carcinoma, Bronchiolar"""""",""""""Carcinoma, Bronchiolo Alveolar"""""",""""""Carcinoma, Bronchiolo-Alveolar"""""",""""""Carcinoma, Bronchioloalveolar"""""",""""""Carcinomas, Alveolar"""""",""""""Carcinomas, Bronchiolar"""""",""""""Carcinomas, Bronchiolo-Alveolar"""""",""""""Carcinomas, Bronchioloalveolar"""""",""""""[M]Bronchiolo-alveolar adenocarcinoma""""""]","[""""""""""""]","[""""""MeSH:D002282"""""",""""""SnoMedCT:112677002"""""",""""""SnoMedCT:36310008"""""",""""""SnoMedCT:373627005"""""",""""""UMLS:C0007120"""""",""""""MedDRA:10049876"""""",""""""NDFRT:N0000000669""""""]"
